ID,Custom label 0,title,description,price,link,image_link,Brand,availability,Condition
V1AA5A1152,Chocolates,Diamond Collection Assorted Bonbons Medium,Diamond Medium : Chocolate Bonbon (White) Chocolate Cream Bonbon (White) Machiato Bonbon (White) Matcha Bonbon (White) Orange Bonbon (White),140,https://www.vocca.co/product_detail/1pga02c008401031913_2,https://drive.google.com/file/d/1OIxNDzi7P_3J3PzR8T_bwJfrAVHL2QRK/view?usp=drive_link,Vocca,in stock,new
V1AA5A1083,Chocolates,Delice Collection Assorted Pralines Medium Red,Delice Medium Red: Almond Praline (Milk) Salted Caramel Praline (Dark) Ganache Praline (Dark) Raspberry Praline (Dark) Zaffran Praline (Milk),30,https://www.vocca.co/product_detail/1pga02a0101837607679_1,https://drive.google.com/file/d/1PPsm_evpGyhElQ5QgoIy8j4TkZG20Xe2/view?usp=drive_link,Vocca,in stock,new
V1AA5A1093,Chocolates,Onyx Collection Assorted Chocolates Black,Assorted Chocolates,75,https://www.vocca.co/product_detail/1pga02a012330725252,https://drive.google.com/file/d/1rUot7yvtvb5Vo3jkbIcopvtWtBnIDZky/view?usp=drive_link,Vocca,in stock,new
V1AA5A1094,Chocolates,Vintage Collection Assorted Chocolates Medium Brown,Assorted Chocolates,185,https://www.vocca.co/product_detail/1pga02a0132103805650,https://drive.google.com/file/d/1F2TeHKpSCBv2Zc4reHRrOwK3_j57Qpv7/view?usp=drive_link,Vocca,in stock,new
V1BA1A9001,Chocolate Bar,Belgian Mixed Nuts Chocolate Bar in Milk Chocolate 50g,Swiss Milk Chocolate in Mixed Nuts,17,https://www.vocca.co/product_detail/1pga02b0151137707604,https://drive.google.com/file/d/1k6oHFPcBgBBrgnYrJ6_yEoIDh9GpYebI/view?usp=drive_link,Vocca,in stock,new
V1BA2A1001,Chocolate Bar,Belgian Chocolate Bar in Dark Chocolate 50g,Swiss Dark Chocolate,15,https://www.vocca.co/product_detail/1pga02b016692210428,https://drive.google.com/file/d/18594GmeavRlbo1tVVEV84FKwGuZhP1vC/view?usp=drive_link,Vocca,in stock,new
V1BA1A1010,Chocolate Bar,Pistachio Kunafa Chocolate Bar in Milk Chocolate 120g,Creamy Pistachio Kunafa Bar,25,https://www.vocca.co/product_detail/1pgc01b001180994013,https://drive.google.com/file/d/1LuoAfIyI1nU-G8tSsV-rYgR5NuXoMljY/view?usp=drive_link,Vocca,in stock,new
V1BA1A1011,Chocolate Bar,Coconut Kunafa Chocolate Bar in Milk Chocolate 120g,Creamy Coconut Kunafa Bar,25,https://www.vocca.co/product_detail/1pgc01b0021057625993,https://drive.google.com/file/d/1MYjh_1mIO7LRaVMJDmBNwUNwsXuVOFpu/view?usp=drive_link,Vocca,in stock,new
V1BA1A1012,Chocolate Bar,Nutella Kunafa Chocolate Bar in Milk Chocolate 120g,Creamy Nutella Kunafa Bar,25,https://www.vocca.co/product_detail/1pgc01b00337875523,https://drive.google.com/file/d/1yuVRFAPO4j0Ai4FAh7n0UqYP9L7Q93nA/view?usp=drive_link,Vocca,in stock,new
V1BA1A1016,Chocolate Bar,Lotus Kunafa Chocolate Bar in Milk Chocolate 120g,Creamy Lotus Kunafa Bar,25,https://www.vocca.co/product_detail/j,https://drive.google.com/file/d/1JKfKmXqXUZEW2fObsjTivnqKo6Ofw_dx/view?usp=drive_link,Vocca,in stock,new
V1BA1A1017,Chocolate Bar,Dates Kunafa Chocolate Bar in Milk Chocolate 120g,Creamy Dates Kunafa Bar,25,https://www.vocca.co/product_detail/d,https://drive.google.com/file/d/1PM9onc34z-1JKszgSTB1SSvklHeSVDtr/view?usp=drive_link,Vocca,in stock,new
V1EA1A1001,Crunches,Coco Crunches in Milk Chocolate 165g,Caramelized Coconuts with wafer chocolates,30,https://www.vocca.co/product_detail/1pga02e01797130918,https://drive.google.com/file/d/1Rb4k_0EDwMFGaEjeW16qvgcQFhRFT7ok/view?usp=drive_link,Vocca,in stock,new
V1NM2A1001,Snackables,Pistachio Arabic Biscotti 300g,Pistachio Biscotti,65,https://www.vocca.co/product_detail/qq,https://drive.google.com/file/d/1AkfnzUKYWc4iWtQvH3G1LVQwUEnd1i_E/view?usp=drive_link,Vocca,in stock,new
V1NM2A1002,Snackables,Almond Arabic Biscotti 300g,Almond Biscotti,65,https://www.vocca.co/product_detail/qqq,https://drive.google.com/file/d/1AkfnzUKYWc4iWtQvH3G1LVQwUEnd1i_E/view?usp=drive_link,Vocca,in stock,new
V1NM2A1003,Snackables,Milk Arabic Biscotti 300g,Milk Biscotti,65,https://www.vocca.co/product_detail/23232,https://drive.google.com/file/d/1AkfnzUKYWc4iWtQvH3G1LVQwUEnd1i_E/view?usp=drive_link,Vocca,in stock,new
V1NM2A2003,Chocolate Bar,Kunafa Bars 5 Pcs Bundle,"🍫Premium Kunafa Chocolate Bars at an Unbelievable Price!

Experience the richness of our 'viral' chocolate bars :
1. Kunafa Pistachio
2. Kunafa Coconut
3. Kunafa Lotus
4. Kunafa Dates
5. Kunafa Nutella",100,https://www.vocca.co/product_detail/1pgc01b004315653850,https://www.vocca.co/adminpanel/uploads/product_file/05e91196-292a-436a-93c9-9f6c0b612897.jpg,Vocca,in stock,new
V1NM2A2004,Chocolate Bar,"Kunafa Bars 3 Pcs Bundle
","🍫Premium Kunafa Chocolate Bars at an Unbelievable Price!

Experience the richness of our 'viral' chocolate bars :
1. Kunafa Pistachio
2. Kunafa Coconut
3. Kunafa Nutella""",75,https://www.vocca.co/product_detail/1pgc01b004315653850_1,https://www.vocca.co/adminpanel/uploads/product_file/3_pc_Kunafa_Bar.jpg,Vocca,in stock,new
